,Name,Fn_Fix,Ln_Fix,new_town,county,new_state,country,name_type,Name_Fix
1045,Thomas Ross,Thomas,Ross,,,GA,US,state,Thomas Ross
1046,John Casper,John,Casper,Portsmouth,Norfolk County,VA,US,town,John Casper
1047,John Stirk,John,Stirk,,,GA,US,state,John Stirk
1048,Abigail Minis,Abigail,Minis,,,GA,US,state,Abigail Minis
1049,Jacob Cohen,Jacob,Cohen,Charleston,Charleston County,SC,US,town,Jacob Cohen
1050,Morton Williams,Morton,Williams,,,SC,US,state,Morton Williams
1051,William Ives,William,Ives,,Columbia County,GA,US,county,William Ives
1052,Samuel Sterrett,Samuel,Sterrett,Baltimore,Baltimore County,MD,US,town,Samuel Sterrett
1053,Ebenezer Thayer,Ebenezer,Thayer,Charleston,Charleston County,SC,US,town,Ebenezer Thayer
1054,Joseph Dacosta,Joseph,Dacosta,Savannah,Chatham County,GA,US,town,Joseph Dacosta
1055,John Gibbons,John,Gibbons,,,GA,US,state,John Gibbons
1056,Stephen Lawrence,Stephen,Lawrence,,,SC,US,state,Stephen Lawrence
1057,Samuel Lawrence,Samuel,Lawrence,,,GA,US,state,Samuel Lawrence
1059,Israel Josephs,Israel,Josephs,,,SC,US,state,Israel Josephs
1060,Thomas Gibbons,Thomas,Gibbons,,,GA,US,state,Thomas Gibbons
1061,Edward Trescot,Edward,Trescot,,,GA,US,state,Edward Trescot
1062,William Ewing,William,Ewing,Savannah,Chatham County,GA,US,town,William Ewing
1063,Charles Snowden,Charles,Snowden,Charleston,Charleston County,SC,US,town,Charles Snowden
1064,Adam Gilchrist,Adam,Gilchrist,Charleston,Charleston County,SC,US,town,Adam Gilchrist
1065,Jorael Joseph,Jorael,Joseph,Charleston,Charleston County,SC,US,town,Jorael Joseph
1066,Franz Jacob Follz,Franz Jacob,Follz,Charleston,Charleston County,SC,US,town,Franz Jacob Follz
1067,Isaac Moses,Isaac,Moses,Charleston,Charleston County,SC,US,town,Isaac Moses
1068,Thomas Ross,Thomas,Ross,,,SC,US,state,Thomas Ross
1069,Robert Ross Waddell,Robert Ross,Waddell,,,NY,US,state,Robert Ross Waddell
1072,Uriah Forrest and Benjamin Stoddert,Benjamin,Stoddert,Georgetown,Cecil County,MD,US,town,Benjamin Stoddert | Uriah Forrest
1072,Uriah Forrest and Benjamin Stoddert,Uriah,Forrest,Georgetown,Cecil County,MD,US,town,Benjamin Stoddert | Uriah Forrest
1073,James Somervell,James,Somervell,,Prince Georges County,MD,US,county,James Somervell
1074,John Weston,John,Weston,,Harford County,MD,US,county,John Weston
1075,Thomas Bond,Thomas,Bond,,St Marys County,MD,US,county,Thomas Bond
1076,John Casey,John,Casey,,Prince Georges County,MD,US,county,John Casey
1077,Reverdy Ghiselin,Reverdy,Ghiselin,Annapolis,Anne Arundel County,MD,US,town,Reverdy Ghiselin
1078,Benjamin Duvall,Benjamin,Duvall,,Prince Georges County,MD,US,county,Benjamin Duvall
1079,Philip Thomas,Philip,Thomas,Frederick,Frederick County,MD,US,town,Philip Thomas
1080,The Rev Thomas Thornton | Thomas Thornton,Thomas,Thornton,,,VA,US,state,Thomas Thornton
1081,Peter Baalde,Peter,Baalde,,,,NL,country,Peter Baalde
1082,Lewis Brantz,Lewis,Brantz,Baltimore,Baltimore County,MD,US,town,Lewis Brantz
1083,Adrian Valck,Adrian,Valck,Baltimore,Baltimore County,MD,US,town,Adrian Valck
1084,Ariana Walter | Ariana Walters,Ariana,Walter,Baltimore,Baltimore County,MD,US,town,Ariana Walter | Ariana Walters
1084,Ariana Walter | Ariana Walters,Ariana,Walters,Baltimore,Baltimore County,MD,US,town,Ariana Walter | Ariana Walters
1085,Jacob Walter | Jacob Walters,Jacob,Walter,,Baltimore County,MD,US,county,Jacob Walter | Jacob Walters
1085,Jacob Walter | Jacob Walters,Jacob,Walters,,Baltimore County,MD,US,county,Jacob Walter | Jacob Walters
1086,Jacob Walter | Jacob Walters | Jacob Walters Excrs of Sebret Sollars,Jacob,Walter,,Baltimore County,MD,US,county,Jacob Walter | Sebret Sollars
1086,Jacob Walter | Jacob Walters | Jacob Walters Excrs of Sebret Sollars,Sebret,Sollars,,Baltimore County,MD,US,county,Jacob Walter | Sebret Sollars
1087,Margaret A Carroll | Margaret Carroll,Margaret A,Carroll,,Baltimore County,MD,US,county,Margaret A Carroll | Margaret Carroll
1087,Margaret A Carroll | Margaret Carroll,Margaret,Carroll,,Baltimore County,MD,US,county,Margaret A Carroll | Margaret Carroll
1088,John Walkins | John Watkins,John,Walkins,,Anne Arundel County,MD,US,county,John Walkins | John Watkins
1088,John Walkins | John Watkins,John,Watkins,,Anne Arundel County,MD,US,county,John Walkins | John Watkins
1089,John Adlum,John,Adlum,Frederick,Frederick County,MD,US,town,John Adlum
1090,John Munnikhuysen,John,Munnikhuysen,Baltimore,Baltimore County,MD,US,town,John Munnikhuysen
1091,Mary Ritchie,Mary,Ritchie,,Frederick County,MD,US,county,Mary Ritchie
1092,George Yeast | George Yoast,George,Yeast,,Frederick County,MD,US,county,George Yeast | George Yoast
1092,George Yeast | George Yoast,George,Yoast,,Frederick County,MD,US,county,George Yeast | George Yoast
1094,Richard Potts,Richard,Potts,Frederick,Frederick County,MD,US,town,Richard Potts
1095,William Potts,William,Potts,Baltimore,Baltimore County,MD,US,town,William Potts
1098,Charles A Warfield | Charles Alexander Warfeild,Charles A,Warfield,,Anne Arundel County,MD,US,county,Charles A Warfield | Charles Alexander Warfeild
1098,Charles A Warfield | Charles Alexander Warfeild,Charles Alexander,Warfeild,,Anne Arundel County,MD,US,county,Charles A Warfield | Charles Alexander Warfeild
1099,James Smith,James,Smith,Frederick,Frederick County,MD,US,town,James Smith
1100,Mary Weltner | Mary Wiltner,Mary,Weltner,Frederick,Frederick County,MD,US,town,Mary Weltner | Mary Wiltner
1100,Mary Weltner | Mary Wiltner,Mary,Wiltner,Frederick,Frederick County,MD,US,town,Mary Weltner | Mary Wiltner
1101,Cumberland Dugan,Cumberland,Dugan,Baltimore,Baltimore County,MD,US,town,Cumberland Dugan
1102,Outerbridge Horsey,Outerbridge,Horsey,,Somerset County,MD,US,county,Outerbridge Horsey
1103,Sam Smith | Samuel Smith,Sam,Smith,Baltimore,Baltimore County,MD,US,town,Sam Smith | Samuel Smith
1103,Sam Smith | Samuel Smith,Samuel,Smith,Baltimore,Baltimore County,MD,US,town,Sam Smith | Samuel Smith
1104,John Baden | John Badon,John,Baden,,Prince Georges County,MD,US,county,John Baden | John Badon
1104,John Baden | John Badon,John,Badon,,Prince Georges County,MD,US,county,John Baden | John Badon
1105,Robert Dick,Robert,Dick,Bladensburg,Prince Georges County,MD,US,town,Robert Dick
1106,Henry Dowens | Henry Downes,Henry,Dowens,,Caroline County,MD,US,county,Henry Dowens | Henry Downes
1106,Henry Dowens | Henry Downes,Henry,Downes,,Caroline County,MD,US,county,Henry Dowens | Henry Downes
1107,Gustavus Scott,Gustavus,Scott,Cambridge,Dorchester County,MD,US,town,Gustavus Scott
1108,John Welsh,John,Welsh,Annapolis,Anne Arundel County,MD,US,town,John Welsh
1109,George Buchanan,George,Buchanan,Baltimore,Baltimore County,MD,US,town,George Buchanan
1110,John Hunter,John,Hunter,,,VA,US,state,John Hunter
1111,Robert Peter | Robert Peters,Robert,Peter,Georgetown,Cecil County,MD,US,town,Robert Peter | Robert Peters
1111,Robert Peter | Robert Peters,Robert,Peters,Georgetown,Cecil County,MD,US,town,Robert Peter | Robert Peters
1112,George Bare,George,Bare,,,MD,US,state,George Bare
1113,William Beatly | William Beatty,William,Beatly,,Frederick County,MD,US,county,William Beatly | William Beatty
1113,William Beatly | William Beatty,William,Beatty,,Frederick County,MD,US,county,William Beatly | William Beatty
1114,Conrad Doll,Conrad,Doll,,Frederick County,MD,US,county,Conrad Doll
1115,Valentine Swartz,Valentine,Swartz,,Frederick County,MD,US,county,Valentine Swartz
1116,Margaret Trislor,Margaret,Trislor,,,MD,US,state,Margaret Trislor
1118,Pat Allison | Patrick Allison,Pat,Allison,Baltimore,Baltimore County,MD,US,town,Pat Allison | Patrick Allison
1118,Pat Allison | Patrick Allison,Patrick,Allison,Baltimore,Baltimore County,MD,US,town,Pat Allison | Patrick Allison
1119,Richard Pindall | Richard Pindell | Richard Tindall,Richard,Pindall,,Washington County,MD,US,county,Richard Pindall | Richard Pindell | Richard Tindall
1119,Richard Pindall | Richard Pindell | Richard Tindall,Richard,Pindell,,Washington County,MD,US,county,Richard Pindall | Richard Pindell | Richard Tindall
1119,Richard Pindall | Richard Pindell | Richard Tindall,Richard,Tindall,,Washington County,MD,US,county,Richard Pindall | Richard Pindell | Richard Tindall
1120,Isaac Perkins,Isaac,Perkins,,Kent County,MD,US,county,Isaac Perkins
1121,William Winder,William,Winder,,Somerset County,MD,US,county,William Winder
1123,Samuel Jn Smith | Samuel John Smith | Smith,Samuel John,Smith,Baltimore,Baltimore County,MD,US,town,Samuel John Smith
1124,Michael J Stone | Mitchel J Stone,Michael J,Stone,,Charles County,MD,US,county,Michael J Stone | Mitchel J Stone
1124,Michael J Stone | Mitchel J Stone,Mitchel J,Stone,,Charles County,MD,US,county,Michael J Stone | Mitchel J Stone
1125,Francis Deakins,Francis,Deakins,,Montgomery County,MD,US,county,Francis Deakins
1126,William Deakins,William,Deakins,Georgetown,Cecil County,MD,US,town,William Deakins
1127,James Calhoun,James,Calhoun,,,MD,US,state,James Calhoun
1128,Joseph Donaldson,Joseph,Donaldson,Baltimore,Baltimore County,MD,US,town,Joseph Donaldson
1129,Charles Chields | Charles Shields,Charles,Chields,,,MD,US,state,Charles Chields | Charles Shields
1129,Charles Chields | Charles Shields,Charles,Shields,,,MD,US,state,Charles Chields | Charles Shields
1130,David McMechen,David,Mcmechen,Baltimore,Baltimore County,MD,US,town,David Mcmechen
1131,William Fitzhugh,William,Fitzhugh,,Calvert County,MD,US,county,William Fitzhugh
1132,William Fitzhugh,William,Fitzhugh,,,MD,US,state,William Fitzhugh
1133,Edward Harris,Edward,Harris,,Queen Annes County,MD,US,county,Edward Harris
1134,Edward Kain,Edward,Kain,,Harford County,MD,US,county,Edward Kain
1135,Philip Walker,Philip,Walker,,Caroline County,MD,US,county,Philip Walker
1136,Eliz Weatherly | Elizabeth Weatherby,Eliz,Weatherly,,Baltimore County,MD,US,county,Eliz Weatherly | Elizabeth Weatherby
1136,Eliz Weatherly | Elizabeth Weatherby,Elizabeth,Weatherby,,Baltimore County,MD,US,county,Eliz Weatherly | Elizabeth Weatherby
1137,Robert Gilmor,Robert,Gilmor,,Baltimore County,MD,US,county,Robert Gilmor
1138,Daniel Jenifer,Daniel,Jenifer,,Charles County,MD,US,county,Daniel Jenifer
1139,Thomas Marriott,Thomas,Marriott,,Anne Arundel County,MD,US,county,Thomas Marriott
1140,John Summers | John Sumners,John,Summers,,Montgomery County,MD,US,county,John Summers | John Sumners
1140,John Summers | John Sumners,John,Sumners,,Montgomery County,MD,US,county,John Summers | John Sumners
1141,Henry Gardiner,Henry,Gardiner,,St Marys County,MD,US,county,Henry Gardiner
1142,Samuel Griffin | Samuel Griffith,Samuel,Griffin,,Harford County,MD,US,county,Samuel Griffin | Samuel Griffith
1142,Samuel Griffin | Samuel Griffith,Samuel,Griffith,,Harford County,MD,US,county,Samuel Griffin | Samuel Griffith
1143,Joshua Owens,Joshua,Owens,,Baltimore County,MD,US,county,Joshua Owens
1144,Daniel Boyd | Daniel Boyle,Daniel,Boyd,,Frederick County,MD,US,county,Daniel Boyd | Daniel Boyle
1144,Daniel Boyd | Daniel Boyle,Daniel,Boyle,,Frederick County,MD,US,county,Daniel Boyd | Daniel Boyle
1145,Nicholas Brewer,Nicholas,Brewer,Annapolis,Anne Arundel County,MD,US,town,Nicholas Brewer
1146,Ralph Crabb,Ralph,Crabb,,,MD,US,state,Ralph Crabb
1147,Ann Gaither,Ann,Gaither,Annapolis,Anne Arundel County,MD,US,town,Ann Gaither
1148,John Ashton,John,Ashton,,Prince Georges County,MD,US,county,John Ashton
1149,William Faris,William,Faris,Annapolis,Anne Arundel County,MD,US,town,William Faris
1150,William Hindman,William,Hindman,,Talbot County,MD,US,county,William Hindman
1151,William Sinclair,William,Sinclair,,Calvert County,MD,US,county,William Sinclair
1152,Christopher Richardson | Christopher Richmond,Christopher,Richardson,Annapolis,Anne Arundel County,MD,US,town,Christopher Richardson | Christopher Richmond
1152,Christopher Richardson | Christopher Richmond,Christopher,Richmond,Annapolis,Anne Arundel County,MD,US,town,Christopher Richardson | Christopher Richmond
1153,Robert Johnson,Robert,Johnson,Annapolis,Anne Arundel County,MD,US,town,Robert Johnson
1154,John Muir,John,Muir,Annapolis,Anne Arundel County,MD,US,town,John Muir
1155,David Weems,David,Weems,,Anne Arundel County,MD,US,county,David Weems
1156,Charles Maccubbin | Charles McCubbin,Charles,Maccubbin,Annapolis,Anne Arundel County,MD,US,town,Charles Maccubbin | Charles Mccubbin
1156,Charles Maccubbin | Charles McCubbin,Charles,Mccubbin,Annapolis,Anne Arundel County,MD,US,town,Charles Maccubbin | Charles Mccubbin
1158,James Maccubbin Lingan,James Maccubbin,Lingan,Georgetown,Cecil County,MD,US,town,James Maccubbin Lingan
1159,John Bennett,John,Bennett,,Montgomery County,MD,US,county,John Bennett
1160,Arthur Bryan,Arthur,Bryan,,Talbot County,MD,US,county,Arthur Bryan
1161,Foster Maynard,Foster,Maynard,,,MD,US,state,Foster Maynard
1162,John Weems,John,Weems,,Calvert County,MD,US,county,John Weems
1163,Nicholas Sluby,Nicholas,Sluby,Baltimore,Baltimore County,MD,US,town,Nicholas Sluby
1164,James Williams,James,Williams,Annapolis,Anne Arundel County,MD,US,town,James Williams
1165,William Wilson,William,Wilson,,,MD,US,state,William Wilson
1166,Alexander Warfield,Alexander,Warfield,,Frederick County,MD,US,county,Alexander Warfield
1167,John Threlkeld,John,Threlkeld,Georgetown,Cecil County,MD,US,town,John Threlkeld
1168,Mary Blany,Mary,Blany,,Harford County,MD,US,county,Mary Blany
1169,Patrick Doran,Patrick,Doran,,Harford County,MD,US,county,Patrick Doran
1170,John E Howard and Others | John E Howard and others,John E,Howard,,,MD,US,state,John E Howard
1172,William Miller,William,Miller,,Frederick County,MD,US,county,William Miller
1173,John Ritchie,John,Ritchie,Frederick,Frederick County,MD,US,town,John Ritchie
1174,Henry Baldwin,Henry,Baldwin,,Anne Arundel County,MD,US,county,Henry Baldwin
1175,John Davidson,John,Davidson,Annapolis,Anne Arundel County,MD,US,town,John Davidson
1176,Ann Garston,Ann,Garston,Annapolis,Anne Arundel County,MD,US,town,Ann Garston
1177,Charles Wallace,Charles,Wallace,Annapolis,Anne Arundel County,MD,US,town,Charles Wallace
1178,Josiah Carvell Hall | Josias C Hall | Josias Carvel Hall,Josiah Carvell,Hall,Baltimore,Baltimore County,MD,US,town,Josiah Carvell Hall | Josias C Hall | Josias Carvel Hall
1178,Josiah Carvell Hall | Josias C Hall | Josias Carvel Hall,Josias C,Hall,Baltimore,Baltimore County,MD,US,town,Josiah Carvell Hall | Josias C Hall | Josias Carvel Hall
1178,Josiah Carvell Hall | Josias C Hall | Josias Carvel Hall,Josias Carvel,Hall,Baltimore,Baltimore County,MD,US,town,Josiah Carvell Hall | Josias C Hall | Josias Carvel Hall
1180,John L Gibson | John Lee Gibson,John L,Gibson,,Harford County,MD,US,county,John L Gibson | John Lee Gibson
1180,John L Gibson | John Lee Gibson,John Lee,Gibson,,Harford County,MD,US,county,John L Gibson | John Lee Gibson
1181,Lucy Orme | Lucy Orne,Lucy,Orme,,Montgomery County,MD,US,county,Lucy Orme | Lucy Orne
1181,Lucy Orme | Lucy Orne,Lucy,Orne,,Montgomery County,MD,US,county,Lucy Orme | Lucy Orne
1182,Ignatius Smith | Iq Smith | James Smith,Ignatius,Smith,,Montgomery County,MD,US,county,Ignatius Smith | Iq Smith | James Smith
1182,Ignatius Smith | Iq Smith | James Smith,Iq,Smith,,Montgomery County,MD,US,county,Ignatius Smith | Iq Smith | James Smith
1182,Ignatius Smith | Iq Smith | James Smith,James,Smith,,Montgomery County,MD,US,county,Ignatius Smith | Iq Smith | James Smith
1183,Isaac Vanbibber,Isaac,Vanbibber,Baltimore,Baltimore County,MD,US,town,Isaac Vanbibber
1184,John Ridout,John,Ridout,Annapolis,Anne Arundel County,MD,US,town,John Ridout
1185,Mary Elliot | Mary Elliott,Mary,Elliot,,Baltimore County,MD,US,county,Mary Elliot | Mary Elliott
1185,Mary Elliot | Mary Elliott,Mary,Elliott,,Baltimore County,MD,US,county,Mary Elliot | Mary Elliott
1186,Henrietta James,Henrietta,James,,Baltimore County,MD,US,county,Henrietta James
1187,Richard Owen | Richard Owens,Richard,Owen,Annapolis,Anne Arundel County,MD,US,town,Richard Owen | Richard Owens
1187,Richard Owen | Richard Owens,Richard,Owens,Annapolis,Anne Arundel County,MD,US,town,Richard Owen | Richard Owens
1188,John Steward | John Stewart,John,Steward,Bladensburg,Prince Georges County,MD,US,town,John Steward | John Stewart
1188,John Steward | John Stewart,John,Stewart,Bladensburg,Prince Georges County,MD,US,town,John Steward | John Stewart
1189,Nathaniel Ramsay,Nathaniel,Ramsay,,Cecil County,MD,US,county,Nathaniel Ramsay
1190,Charles Carroll of Carrolton,Charles,Carroll,Annapolis,Anne Arundel County,MD,US,town,Charles Carroll
1191,Patrick Allison,Patrick,Allison,Baltimore,Baltimore County,MD,US,town,Patrick Allison
1192,Thomas Edmondson,Thomas,Edmondson,,Montgomery County,MD,US,county,Thomas Edmondson
1193,Alexander Hamilton,Alexander,Hamilton,,Prince Georges County,MD,US,county,Alexander Hamilton
1195,John Williams,John,Williams,Baltimore,Baltimore County,MD,US,town,John Williams
1196,Henry Gaither,Henry,Gaither,,,MD,US,state,Henry Gaither
1197,Philip Read,Philip,Read,,St Marys County,MD,US,county,Philip Read
1198,Richard Thomas,Richard,Thomas,,Montgomery County,MD,US,county,Richard Thomas
1199,Margaret Fisher,Margaret,Fisher,,Frederick County,MD,US,county,Margaret Fisher
1200,Wallace and Muir,Charles,Wallace,Annapolis,Anne Arundel County,MD,US,town,Charles Wallace | John Muir
1200,Wallace and Muir,John,Muir,Annapolis,Anne Arundel County,MD,US,town,Charles Wallace | John Muir
1201,Wallace and Muir,Charles,Wallace,Annapolis,Anne Arundel County,MD,US,town,Charles Wallace | John Muir
1201,Wallace and Muir,John,Muir,Annapolis,Anne Arundel County,MD,US,town,Charles Wallace | John Muir
1203,Henry Zealor and Margaret Fisher | Zealor E Fisher,Henry,Zealor,,Frederick County,MD,US,county,Henry Zealor | Margaret Fisher
1203,Henry Zealor and Margaret Fisher | Zealor E Fisher,Margaret,Fisher,,Frederick County,MD,US,county,Henry Zealor | Margaret Fisher
1206,Wallace Muir | Wallace and Muir,Charles,Wallace,Annapolis,Anne Arundel County,MD,US,town,Charles Wallace | John Muir
1206,Wallace Muir | Wallace and Muir,John,Muir,Annapolis,Anne Arundel County,MD,US,town,Charles Wallace | John Muir
1207,Daniel Clarke,Daniel,Clarke,,Prince Georges County,MD,US,county,Daniel Clarke
1208,Archibald Golder,Archibald,Golder,Annapolis,Anne Arundel County,MD,US,town,Archibald Golder
1209,Aaron Lanham | Aron Lanham,Aaron,Lanham,,Montgomery County,MD,US,county,Aaron Lanham | Aron Lanham
1209,Aaron Lanham | Aron Lanham,Aron,Lanham,,Montgomery County,MD,US,county,Aaron Lanham | Aron Lanham
1210,Philip Key,Philip,Key,,,MD,US,state,Philip Key
1211,Gerrard Alexander,Gerrard,Alexander,,,MD,US,state,Gerrard Alexander
1213,Elizabeth Gassaway,Elizabeth,Gassaway,,Anne Arundel County,MD,US,county,Elizabeth Gassaway
1214,Gerrard Alexander,Gerrard,Alexander,,,VA,US,state,Gerrard Alexander
1215,Elizabeth Gray,Elizabeth,Gray,,Dorchester County,MD,US,county,Elizabeth Gray
1216,Thomas Richardson,Thomas,Richardson,,Prince Georges County,MD,US,county,Thomas Richardson
1218,Rinaldo Johnson,Rinaldo,Johnson,,Prince Georges County,MD,US,county,Rinaldo Johnson
1219,John Davidson,John,Davidson,Annapolis,Anne Arundel County,MD,US,town,John Davidson
1220,Frederick Grammar,Frederick,Grammar,Annapolis,Anne Arundel County,MD,US,town,Frederick Grammar
1221,Christian Lybrant,Christian,Lybrant,,,PA,US,state,Christian Lybrant
1224,Benjamin Harwood,Benjamin,Harwood,Annapolis,Anne Arundel County,MD,US,town,Benjamin Harwood
1225,John Laird,John,Laird,Georgetown,Cecil County,MD,US,town,John Laird
1226,William Marbury,William,Marbury,Annapolis,Anne Arundel County,MD,US,town,William Marbury
1227,Randolph B Latimer,Randolph B,Latimer,Annapolis,Anne Arundel County,MD,US,town,Randolph B Latimer
1230,James Gettings,James,Gettings,,Baltimore County,MD,US,county,James Gettings
1231,Philip Key,Philip,Key,,St Marys County,MD,US,county,Philip Key
1232,Lewis Neth,Lewis,Neth,Annapolis,Anne Arundel County,MD,US,town,Lewis Neth
1233,Vachel White,Vachel,White,,Anne Arundel County,MD,US,county,Vachel White
1234,Ezekiel Hanie,Ezekiel,Hanie,,Worcester County,MD,US,county,Ezekiel Hanie
1237,Levin Winder | Lovin Winder,Levin,Winder,,Somerset County,MD,US,county,Levin Winder | Lovin Winder
1237,Levin Winder | Lovin Winder,Lovin,Winder,,Somerset County,MD,US,county,Levin Winder | Lovin Winder
1238,Robert Harrison,Robert,Harrison,,Dorchester County,MD,US,county,Robert Harrison
1239,William Wyvell,William,Wyvell,,Anne Arundel County,MD,US,county,William Wyvell
1240,Joshua Yates,Joshua,Yates,,Anne Arundel County,MD,US,county,Joshua Yates
1241,Charles Chilton,Charles,Chilton,,St Marys County,MD,US,county,Charles Chilton
1242,John McClellan,John,Mcclellan,Baltimore,Baltimore County,MD,US,town,John Mcclellan
1243,William Hodgson,William,Hodgson,Alexandria,Fairfax County,VA,US,town,William Hodgson
1244,Thomas Hyde,Thomas,Hyde,Annapolis,Anne Arundel County,MD,US,town,Thomas Hyde
1246,Richard Woottan | Richard Wootton,Richard,Woottan,,Montgomery County,MD,US,county,Richard Woottan | Richard Wootton
1246,Richard Woottan | Richard Wootton,Richard,Wootton,,Montgomery County,MD,US,county,Richard Woottan | Richard Wootton
1247,Eleanor Croxall,Eleanor,Croxall,Baltimore,Baltimore County,MD,US,town,Eleanor Croxall
1248,Frederick Green,Frederick,Green,Annapolis,Anne Arundel County,MD,US,town,Frederick Green
1249,Thomas Martin,Thomas,Martin,,Dorchester County,MD,US,county,Thomas Martin
1250,Benjamin Nicholson,Benjamin,Nicholson,,,MD,US,state,Benjamin Nicholson
1251,Henry Tubman,Henry,Tubman,,St Marys County,MD,US,county,Henry Tubman
1253,Robert Bowie,Robert,Bowie,,Prince Georges County,MD,US,county,Robert Bowie
1254,William Campbell,William,Campbell,Annapolis,Anne Arundel County,MD,US,town,William Campbell
1255,Robert Couden,Robert,Couden,Annapolis,Anne Arundel County,MD,US,town,Robert Couden
1256,Walter Hellen,Walter,Hellen,,Calvert County,MD,US,county,Walter Hellen
1257,Thomas Callahan,Thomas,Callahan,Annapolis,Anne Arundel County,MD,US,town,Thomas Callahan
1259,Benjamin Harwood,Benjamin,Harwood,Annapolis,Anne Arundel County,MD,US,town,Benjamin Harwood
1260,William Smith,William,Smith,Baltimore,Baltimore County,MD,US,town,William Smith
1261,John Ward,John,Ward,,Cecil County,MD,US,county,John Ward
1262,James Bruff,James,Bruff,,,MD,US,state,James Bruff
1263,Philip Feddeman | Philip Feddman,Philip,Feddeman,,Queen Annes County,MD,US,county,Philip Feddeman | Philip Feddman
1263,Philip Feddeman | Philip Feddman,Philip,Feddman,,Queen Annes County,MD,US,county,Philip Feddeman | Philip Feddman
1264,William Hackett,William,Hackett,,,MD,US,state,William Hackett
1265,Joseph Sands,Joseph,Sands,Annapolis,Anne Arundel County,MD,US,town,Joseph Sands
1266,Moses Rawlings,Moses,Rawlings,,Washington County,MD,US,county,Moses Rawlings
1267,Charles Beatty,Charles,Beatty,Georgetown,Cecil County,MD,US,town,Charles Beatty
1268,Walter S Chandler,Walter S,Chandler,,Prince Georges County,MD,US,county,Walter S Chandler
1269,Richard A Contee | Richard Alexander Cont,Richard A,Contee,,,MD,US,state,Richard A Contee | Richard Alexander Cont
1269,Richard A Contee | Richard Alexander Cont,Richard Alexander,Cont,,,MD,US,state,Richard A Contee | Richard Alexander Cont
1270,Daniel Carroll Brant Virginia | Daniel Carroll Brent,Daniel Carroll,Brant,,,VA,US,state,Daniel Carroll Brant | Daniel Carroll Brent
1270,Daniel Carroll Brant Virginia | Daniel Carroll Brent,Daniel Carroll,Brent,,,VA,US,state,Daniel Carroll Brant | Daniel Carroll Brent
1271,Charles Lee | Charles Lee Virginia | Richard Lee,Charles,Lee,,,VA,US,state,Charles Lee | Richard Lee
1271,Charles Lee | Charles Lee Virginia | Richard Lee,Richard,Lee,,,VA,US,state,Charles Lee | Richard Lee
1272,Uriah Forrest and Benjamin Stoddert,Benjamin,Stoddert,Georgetown,Cecil County,MD,US,town,Benjamin Stoddert | Uriah Forrest
1272,Uriah Forrest and Benjamin Stoddert,Uriah,Forrest,Georgetown,Cecil County,MD,US,town,Benjamin Stoddert | Uriah Forrest
1273,Michael Baltzel,Michael,Baltzel,,Frederick County,MD,US,county,Michael Baltzel
1274,Peter Houck,Peter,Houck,,Frederick County,MD,US,county,Peter Houck
1275,Walter S Chandler | Walter Storey Chandler,Walter S,Chandler,,Prince Georges County,MD,US,county,Walter S Chandler | Walter Storey Chandler
1275,Walter S Chandler | Walter Storey Chandler,Walter Storey,Chandler,,Prince Georges County,MD,US,county,Walter S Chandler | Walter Storey Chandler
1276,Thomas Beatty,Thomas,Beatty,,Frederick County,MD,US,county,Thomas Beatty
1277,Henry Brotbeck,Henry,Brotbeck,,Frederick County,MD,US,county,Henry Brotbeck
1278,Casper Eader,Casper,Eader,,Frederick County,MD,US,county,Casper Eader
1279,Peter Giphard,Peter,Giphard,,Frederick County,MD,US,county,Peter Giphard
1280,Conrad Grosh,Conrad,Grosh,,Frederick County,MD,US,county,Conrad Grosh
1281,John Gunby | John Gunley,John,Gunby,,Worcester County,MD,US,county,John Gunby | John Gunley
1281,John Gunby | John Gunley,John,Gunley,,Worcester County,MD,US,county,John Gunby | John Gunley
1282,Thomas Hawkins,Thomas,Hawkins,,Frederick County,MD,US,county,Thomas Hawkins
1283,Valentine Marter,Valentine,Marter,,Frederick County,MD,US,county,Valentine Marter
1284,Philip Rodenpillar | Philip Rodenpiller,Philip,Rodenpillar,,Frederick County,MD,US,county,Philip Rodenpillar | Philip Rodenpiller
1284,Philip Rodenpillar | Philip Rodenpiller,Philip,Rodenpiller,,Frederick County,MD,US,county,Philip Rodenpillar | Philip Rodenpiller
1285,Matthias Shrub,Matthias,Shrub,,Frederick County,MD,US,county,Matthias Shrub
1286,George Simmerman,George,Simmerman,,Frederick County,MD,US,county,George Simmerman
1288,Andrew Workman | Andrew Worman,andrew,Workman,,Frederick County,MD,US,county,andrew Workman | andrew Worman
1288,Andrew Workman | Andrew Worman,andrew,Worman,,Frederick County,MD,US,county,andrew Workman | andrew Worman
1291,John Briscoe,John,Briscoe,,St Marys County,MD,US,county,John Briscoe
1292,William Carlin,William,Carlin,,,VA,US,state,William Carlin
1293,Francis C Dyer | Francis Clement Dyer,Francis C,Dyer,,Prince Georges County,MD,US,county,Francis C Dyer | Francis Clement Dyer
1293,Francis C Dyer | Francis Clement Dyer,Francis Clement,Dyer,,Prince Georges County,MD,US,county,Francis C Dyer | Francis Clement Dyer
1294,Sulton Gudgeon | Sutton Gudgeon,Sulton,Gudgeon,,Baltimore County,MD,US,county,Sulton Gudgeon | Sutton Gudgeon
